SSL_valid,SSL_expiry_days,HTTPS,HSTS,X_Frame,CSP,Script_Count,External_Scripts,Inline_JS,Risk_Label
1,212,1,1,1,1,64,60,0,Secure
1,63,1,0,1,0,11,0,0,Secure
1,80,1,1,1,1,41,22,0,Secure
1,317,1,1,1,0,13,3,0,Secure
1,367,1,1,1,0,4,0,0,Secure
1,107,1,0,0,0,0,0,0,Warning
1,347,1,0,1,0,25,5,1,Warning
1,166,1,1,1,0,18,2,0,Secure
1,71,1,0,0,1,1,0,0,Secure
1,270,1,1,1,1,11,4,0,Secure
1,262,1,1,0,0,1,0,0,Secure
1,156,1,1,1,0,10,3,0,Secure
1,9,1,1,1,0,2,0,0,Secure
1,79,1,0,1,0,1,0,0,Secure
1,182,1,1,1,1,533,0,0,Secure
1,342,1,1,0,1,20,15,0,Secure
1,34,1,0,1,0,1,0,0,Secure
1,56,1,1,1,1,18,2,0,Secure
1,178,1,1,1,1,28,15,0,Secure
1,74,1,1,1,0,1,0,0,Secure
1,41,1,0,1,0,76,0,0,Secure
1,40,1,1,1,1,153,0,0,Secure
1,36,1,0,1,1,21,0,0,Secure
1,82,1,1,1,1,67,27,0,Secure
1,185,1,1,1,0,8,2,0,Secure
1,142,1,0,1,0,72,31,0,Secure
1,45,1,1,0,0,23,22,0,Warning
1,120,1,1,1,0,14,1,0,Secure
1,47,1,0,1,0,12,1,0,Secure
1,347,1,0,1,0,25,5,1,Warning
1,309,1,1,1,1,25,0,0,Secure
1,284,1,1,1,0,26,24,0,Secure
1,63,1,1,1,1,31,1,0,Secure
0,0,0,0,0,0,0,0,0,High Risk
1,371,1,1,0,0,23,20,0,Warning
1,211,1,1,1,1,20,0,0,Secure
1,269,1,1,1,0,63,0,0,Secure
1,180,1,1,1,1,18,3,0,Secure
1,122,1,1,1,1,22,1,0,Secure
1,42,1,0,1,1,35,25,0,Secure
1,156,1,1,1,0,36,1,0,Secure
1,224,1,1,1,0,28,4,0,Secure
1,53,1,0,1,0,3,0,0,Secure
1,305,1,1,1,0,18,1,0,Secure
1,266,1,1,1,0,24,18,0,Secure
1,124,1,1,1,0,27,2,0,Secure
1,276,1,0,0,1,30,5,0,Secure
1,280,1,1,1,0,0,0,0,Secure
1,99,1,0,1,0,0,0,0,Secure
1,183,1,1,0,0,0,0,0,Secure
1,57,1,1,0,0,16,1,0,Secure
1,226,1,1,0,0,50,11,0,Warning
1,39,1,0,0,1,67,0,0,Secure
1,73,1,0,0,1,27,2,0,Secure
1,255,1,1,1,1,25,2,2,Secure
1,169,1,1,1,1,16,4,0,Secure
1,294,1,1,1,1,22,5,0,Secure
1,320,1,0,0,0,0,0,0,Warning
1,149,1,0,1,1,26,2,0,Secure
0,0,0,0,0,0,0,0,0,High Risk
1,30,1,0,1,1,35,8,3,Secure
1,161,1,1,1,1,25,1,0,Secure
1,183,1,1,1,1,21,14,0,Secure
1,367,1,1,1,0,4,0,0,Secure
1,76,1,0,0,1,92,23,1,Warning
1,56,1,0,0,0,0,0,0,Warning
1,60,1,0,1,1,9,0,0,Secure
0,0,0,0,0,0,0,0,0,High Risk
1,130,1,0,1,0,5,0,0,Secure
1,180,1,1,1,1,24,1,4,Secure
1,66,1,0,0,0,4,2,0,Warning
1,46,1,1,1,1,29,19,0,Secure
0,0,0,0,0,0,0,0,0,High Risk
1,34,0,0,0,0,0,0,0,High Risk
0,0,0,0,0,0,0,0,0,High Risk
0,0,0,0,0,0,0,0,0,High Risk
0,0,0,0,0,0,0,0,0,High Risk
0,0,0,0,0,0,0,0,0,High Risk
